part_id_std,part_id_raw,Item Description,Supplier Name,Supplier PN,PSW,PSW Type,PSW Sub Type,YPN Status,Handling Manual,FAR Status,PPAP Details,psw_ok,has_handling_manual,far_ok
71583035,71583035,Single Wire Seal Natural,Yel-Bl,7158-3035,,PSW,PPAP LEVEL 2,Common,OK,To Be Requested,OK,False,True,False
71591287,71591287,Multi Cable Adascar Comfort 2X1+3X0.5+1X2X0.5/9.3Mm Fr,Leoni Kabel Gmbh,620000C3W,620000C3W  ,PSW,PPAP LEVEL 3,Common,OK,OK,OK,True,True,True
71721585,71721585,Rear Spacer Holder,Yel-Bl,7172-1585,,PSW,PPAP LEVEL 1,Common,Requested,To Be Requested,OK,False,True,False
71730347,71730347,Shrink Tube 19Mm L:70Mm,Dsg Canusa Gmbh,6211915105D,,PSW,PPAP LEVEL 1,Common,OK,To Be Requested,OK,False,True,False
71732703,71732703,Cavity Seal / Blind Plug White,Molex Interconnect Gmbh,34869-1010 ,34869-1010,PSW,PPAP LEVEL 2,Common,OK,To Be Requested,OK,True,True,False
70472636,70472636,Tape Clip,Yel-Bl,7047-2636,,PSW,PPAP LEVEL 2,Common,OK,To Be Requested,OK,False,True,False
71734944,71734944,Grommet Lock,Yel-Bl,7173-4944,,PSW,PPAP LEVEL 4,Common,OK,OK,OK,False,True,True
71736371,71736371,Cavity Seal / Blind Plug Natural,Te Connectivity Germany Gmbh,0-2377195-1,0-2377195-1,PSW,PPAP LEVEL 2,Common,OK,OK,OK,True,True,True
71736373,71736373,Cavity Seal / Blind Plug Natural,Te Connectivity Germany Gmbh,0-2373242-1,0-2373242-1,PSW,PPAP LEVEL 2,Common,OK,OK,OK,True,True,True
70472660,70472660,Tape Clip,A. Raymond Czech Republic,164465001,164465001,PSW,PPAP LEVEL 1,Common,OK,To Be Requested,OK,True,True,False
71742017,71742017,Routing Cover Natural,Sews-Ce Ltd. (Distribution),6911-6578,69116578  ,PSW,PPAP LEVEL 2,Common,OK,OK,OK,True,True,True
70472692,70472692,Tape Clip,A. Raymond Czech Republic,209423000,209423000,PSW,PPAP LEVEL 1,Common,OK,To Be Requested,OK,True,True,False
70472875,70472875,Tape Clip,Itw Fastener Products Gmbh (Prev Trw),6080073801,,PSW,PPAP LEVEL 1,Common,OK,To Be Requested,OK,False,True,False
71849315,71849315,Tape Clip,Ymo-Dc,7184-9315,13301499,PSW,PPAP LEVEL 2,Common,OK,OK,OK,True,True,True
72380556,72380556,Water Hose,Altan Plastik,PZ31-17A423-DC,PZ31-17A423-D,PSW,PPAP LEVEL 2,Common,To Be Requested,To Be Requested,OK,True,True,False
72380557,72380557,Washer System Hoses,Altan Plastik,PZ31-17A423-BC,PZ31-17A423-BC,PSW,PPAP LEVEL 2,Common,OK,OK,OK,True,True,True
70521027,70521027,Tape Clip,Hellermanntyton - Germany,151-00903,151-00903,PSW,PPAP LEVEL 2,Common,OK,To Be Requested,OK,True,True,False
72380577,72380577,Washer System Hoses,Altan Plastik,PZ31-17A423-CC,PZ31-17A423-CC,PSW,PPAP LEVEL 2,Common,OK,OK,OK,True,True,True
72380578,72380578,Washer System Hoses,Altan Plastik,PZ31-17A423-ED,PZ31-17A423-ED,PSW,PPAP LEVEL 2,Common,OK,OK,OK,True,True,True
72380671,72380671,Water Hose,Altan Plastik,PZ31-17A423-DB,,,,Deleted,OK,To Be Requested,To Be Requested,False,True,False
70521180,70521180,Tape Clip,Hellermanntyton - Germany,151-01238,CU5T-14E044-BA,PSW,PPAP LEVEL 2,Common,OK,OK,OK,True,True,True
70521184,70521184,Tape Clip,Hellermanntyton - Germany,151-01240,Hellermann Collective PSW - 62416,PSW,PPAP LEVEL 1,Common,OK,To Be Requested,OK,True,True,False
72380672,72380672,Water Hose,Altan Plastik,PZ31-17A423-FB,,,,Deleted,To Be Requested,To Be Requested,To Be Requested,False,True,False
70521194,70521194,Tape Clip,Hellermanntyton - Germany,151-01239,151-01239,PSW,PPAP LEVEL 1,Common,OK,To Be Requested,OK,True,True,False
72380673,72380673,Water Hose,Altan Plastik,PZ31-17A423-EB,,,,Deleted,To Be Requested,To Be Requested,To Be Requested,False,True,False
72380674,72380674,Water Hose,Altan Plastik,PZ31-17A423-CB,,,,Deleted,To Be Requested,To Be Requested,To Be Requested,False,True,False
70521520,70521520,Tape Clip,Hellermanntyton - Germany,151-01884,151-01884,PSW,PPAP LEVEL 1,Common,OK,To Be Requested,OK,True,True,False
70521526,70521526,Tape Clip,Hellermanntyton - Germany,151-01883,151-01883,PSW,PPAP LEVEL 3,Common,OK,To Be Requested,OK,True,True,False
72380686,72380686,Water Hose,Altan Plastik,PZ31-17A423-BB,,,,Deleted,To Be Requested,To Be Requested,To Be Requested,False,True,False
72527840,72527840,"4X Fir Tree Oval, 12.5Mm Stand-Off With 4 Way Cable Tie Saddle And T50 Cable Tie Set",Hellermanntyton - Germany,156-02698,156-02698,PSW,PPAP LEVEL 3,Common,OK,To Be Requested,OK,True,True,False
72832252,72832252,Connector 12P Amp+Mcp Natural,Te Connectivity Emea,7-0968972-1,7-968972-1,PSW,PPAP LEVEL 2,Common,OK,To Be Requested,OK,True,True,False
72833718,72833718,Connector 4P Get Gray,Molex Europe,31068-1011,31067-1010 -1011_31068-1010 - 1011_31072-1010_31073-1010 -1011,PSW,PPAP LEVEL 1,Common,OK,To Be Requested,OK,True,True,False
72931101,72931101,Temperature Sensor Assembly,Atc Semitec Ltd,103AT-11,,PSW,PPAP LEVEL 2,Common,Requested,To Be Requested,OK,False,True,False
70566302,70566302,Harness Id Label,Yna Cps,7056-6302,,,,Common,Requested,To Be Requested,OK,False,True,False
74750133,74750133,A2B Cable,Molex Europe,2150526000,2150526000,PSW,PPAP LEVEL 2,Common,OK,To Be Requested,OK,True,True,False
74751871,74751871,Multimedia Harness 488Mm,Molex Europe,1006886036,1006886036,PSW,PPAP LEVEL 2,Common,Requested,To Be Requested,OK,True,True,False
74751874,74751874,Multimedia Harness 350Mm,Molex Europe,1006886007,1006886007,PSW,PPAP LEVEL 2,Common,OK,To Be Requested,OK,True,True,False
74751875,74751875,Multimedia Harness 790Mm,Molex Europe,1006886037,1006886037,PSW,PPAP LEVEL 2,Common,Requested,To Be Requested,OK,True,True,False
74752034,74752034,Multimedia Harness 765Mm,Molex Europe,2150526012,2150526012,PSW,PPAP LEVEL 2,Common,Requested,To Be Requested,OK,True,True,False
74752069,74752069,Ant V710 Rvc Drvm Pia To 13B551 For Rcd L1110,Md-Elektronik Gmbh,349519,349519,PSW,PPAP LEVEL 2,Common,OK,To Be Requested,OK,True,True,False
74752070,74752070,Ant V710 Rvc Drvm Pia To 13B551 For Rcd L1110,Md-Elektronik Gmbh,349520,349520,PSW,PPAP LEVEL 2,Common,OK,To Be Requested,OK,True,True,False
74752071,74752071,Ant V710 Rvc Drvm Pia To 13B551 For Rcd L1110,Md-Elektronik Gmbh,349521,349521,PSW,PPAP LEVEL 3,Common,OK,To Be Requested,OK,True,True,False
74752072,74752072,Ant V710 Rvc Drvm Pia To 13B551 Liftgate L1875,Md-Elektronik Gmbh,349522,349522,PSW,PPAP LEVEL 3,Common,OK,To Be Requested,OK,True,True,False
74752074,74752074,Ant V710 Liftgate Bezel Rvc Pia To 13B658 L400,Md-Elektronik Gmbh,349533,349533,PSW,PPAP LEVEL 3,Common,OK,To Be Requested,OK,True,True,False
74752083,74752083,Ant V710 Rvc Drvm Pia To 13B551 Liftgate L1875,Md-Elektronik Gmbh,349523,349523,PSW,PPAP LEVEL 3,Common,OK,To Be Requested,OK,True,True,False
74752084,74752084,Ant V710 Ldw Camera Jumper L290,Md-Elektronik Gmbh,349531,349531,PSW,PPAP LEVEL 3,Common,OK,OK,OK,True,True,True
74752085,74752085,Ant V710 Ldw Camera Jumper L230,Md-Elektronik Gmbh,359756,359756,PSW,PPAP LEVEL 3,Common,OK,To Be Requested,OK,True,True,False
71168251,71168251,Lampen Sockel Kontakt Fuer Blinkleuchte Neu,Pkc Segu Systemelektrik Gmbh,S-07901356059-1,S-07901356059-1,PSW,PPAP LEVEL 2,Common,Requested,OK,OK,True,True,True
74752087,74752087,Ant V710 Rvc Drvmpia To 17N400Liftgate L1-600 L2-775,Md Elektronik Gmbh,349528,349528,PSW,PPAP LEVEL 3,Common,OK,OK,OK,True,True,True
74752088,74752088,Ant V710 Rvc Pia To 17N400For Liftgate L600,Md-Elektronik Gmbh,349529,349529,PSW,PPAP LEVEL 3,Common,OK,To Be Requested,OK,True,True,False
71196347,71196347,Socket Housing 6P White,Te Connectivity Emea,1-969489-3,1-0969489-3,PSW,PPAP LEVEL 2,Common,OK,To Be Requested,OK,True,True,False
71232311,71232311,Connector 1P 0.250 Positive Lock Natural,Te Connectivity Emea,154719-1,,PSW,PPAP LEVEL 1,Common,OK,To Be Requested,OK,False,True,False
71235010,71235010,Connector 1P 0.250 Positive Lock Black,Te Connectivity Emea,926291-1,0-0926291-1,PSW,PPAP LEVEL 1,Common,OK,To Be Requested,OK,True,True,False
74752089,74752089,Ant V710 Drvm Pia To 17N400 For Liftgate L775,Md-Elektronik Gmbh,349530,349530,PSW,PPAP LEVEL 3,Common,OK,To Be Requested,OK,True,True,False
74752090,74752090,Ant V710 Rvc Drvm Pia To 18C394 For Rcd L1-300 L2-980,Md-Elektronik Gmbh,349525,349525,PSW,PPAP LEVEL 2,Common,OK,To Be Requested,OK,True,True,False
74752099,74752099,Ant V710 Front Door Mirror Camera Rhs L785,Md-Elektronik Gmbh,349544,349544,PSW,PPAP LEVEL 3,Common,OK,To Be Requested,OK,True,True,False
74752133,74752133,Ant V710 Rvc Pia To 18C394 For Rcd L300,Md-Elektronik Gmbh,349526,349526,PSW,PPAP LEVEL 3,Common,OK,To Be Requested,OK,True,True,False
74752355,74752355,Assy L330,Yot-K,F000268849,PZ3T-9H568-XXX,PSW,PPAP LEVEL 3,Common,To Be Requested,OK,OK,True,True,True
74753185,74753185,Ant Adas Caoxial Cable L1575,Md-Elektronik Gmbh,378987,378987,PSW,PPAP LEVEL 2,Common,Requested,To Be Requested,OK,True,True,False
74753240,74753240,13 Pin Socket Cable Harnesswith Socket Seal (Ford Transit V710) Bundle 2 L620,Eh Connector Ab,32076-7,32076-7,PSW,PPAP LEVEL 2,Common,To Be Requested,OK,OK,True,True,True
74753415,74753415,Fm1/Dab A Pillar Inline Grommet To Ln L815,Unuvar Elektronik San. Ve Tic. A.S,59019-0C,PZ3T-18812-CCC,PSW,PPAP LEVEL 1,Common,Does Not Exist,To Be Requested,OK,True,True,False
74753416,74753416,Fm2 A Pillar Inline Grommet To Lna Lhd L815,Unuvar Elektronik San. Ve Tic. A.S,59018-0C,PZ3T-18812-CBC,PSW,PPAP LEVEL 1,Common,Does Not Exist,To Be Requested,OK,True,True,False
74753417,74753417,Fm2 A Pillar Inline Grommet To Lna Rhd L815,Unuvar Elektronik San. Ve Tic. A.S,59020-0C,PZ3T-18812-CDC,PSW,PPAP LEVEL 1,Common,Does Not Exist,To Be Requested,OK,True,True,False
74753578,74753578,Pigtail Fpl90-1 V710 L500,"Aptiv Connection Systems Hungary Kft, On Behalf Of Aptiv Services (Ireland)",47362398 ,47362398,PSW ,PPAP LEVEL 3,Common,OK,OK,OK,True,True,True
74753940,74753940,Wire Harness L1565,Yot-K,PZ3T-9H568-XAC,PZ3T-9H568-XXX,PSW,PPAP LEVEL 3,Common,To Be Requested,OK,OK,True,True,True
74753946,74753946,Assy,Yot-K,PZ3T-9H568-YAC,PZ3T-9H568-XXX,PSW,PPAP LEVEL 3,Common,To Be Requested,OK,OK,True,True,True
74754036,74754036,Wire Harness L710,Yot-K,F000274916,,,,Deleted,Does Not Exist,To Be Requested,Requested,False,True,False
74754872,74754872,Wire Harness,Yot-K,PZ3T-9H568-CAA,PZ3T-9H568-XXX,PSW,PPAP LEVEL 1,Common,To Be Requested,OK,OK,True,True,True
74754873,74754873,Wire Harness,Yot-K,PZ3T-9H568-TAD,PZ3T-9H568-XXX,PSW,PPAP LEVEL 1,Common,To Be Requested,Requested,OK,True,True,False
74754874,74754874,Wire Harness,Yot-K,PZ3T-9H568-UBD,PZ3T-9H568-XXX,PSW,PPAP LEVEL 1,Common,To Be Requested,Requested,OK,True,True,False
74756001,74756001,360 Camera - Front J74 L485,Md-Elektronik Gmbh,	10472312,10472312,PSW,PPAP LEVEL 2,Common,To Be Requested,OK,OK,True,True,True
7003106602,7003106602,Eyelet Terminal 8.5Mm,Yna Cps,7003-1066-02,YC1T-14463-EA,PSW,PPAP LEVEL 2,Common,OK,To Be Requested,OK,True,True,False
7003712402,7003712402,Eyelet Terminal 6.5Mm,Yel-Bl,7003-7124-02,7003-7124-02 ,PSW,PPAP LEVEL 1,Common,Requested,To Be Requested,OK,True,True,False
7003751402,7003751402,Eyelet Terminal,Yel-Bl,7003-7514-02,,PSW,PPAP LEVEL 2,Common,Does Not Exist,To Be Requested,OK,False,True,False
7003789002,7003789002,Trmnl Eyllt Typ,Royal Die,R9418,R9418-L,PSW,PPAP LEVEL 2,Common,Does Not Exist,OK,OK,True,True,True
7003789402,7003789402,Terminal,Royal Die,R9401-L,R9401-L,PSW,PPAP LEVEL 2,Common,OK,OK,OK,True,True,True
7003789502,7003789502,Terminal,Royal Die,R9419-B,PPAP LEVEL 2,PSW,PPAP LEVEL 2,Common,Does Not Exist,OK,OK,True,True,True
7003789602,7003789602,Terminal,Royal Die,R9306-L,R9306-L,PSW,PPAP LEVEL 2,Common,Does Not Exist,OK,OK,True,True,True
7003790302,7003790302,Terminal,Royal Die,R9403-B,R9403-B,PSW,PPAP LEVEL 2,Common,Does Not Exist,OK,OK,True,True,True
71583329,71583329,Single Wire Seal Natural,Aptiv Services Deutschland Gmbh - Wuppertal,15366021,15366021,PSW,PPAP LEVEL 2,Common,OK,To Be Requested,OK,True,True,False
71589221,71589221,Cavity Seal / Blind Plug Natural,Molex Europe,343450001,34345-0001,PSW,PPAP LEVEL 1,Common,OK,To Be Requested,OK,True,True,False
7003791202,7003791202,Trmnl Eyelet Typ,Royal Die,R9462-L,R9462-L,PSW,PPAP LEVEL 2,Common,OK,OK,OK,True,True,True
7003791302,7003791302,Terminal,Royal Die,R9458-B,R9458-B,PSW,PPAP LEVEL 2,Common,OK,OK,OK,True,True,True
7003792602,7003792602,Terminal,Royal Die,R9459-B,R9459,PSW,PPAP LEVEL 2,Common,OK,OK,OK,True,True,True
7003793302,7003793302,Trmnl Eylt Typ,Royal Die,R9499-B,R9499,PSW,PPAP LEVEL 2,Common,OK,OK,OK,True,True,True
7009667002,7009667002,Trmnl - Eyelet Typ,Royal Die,R8834,R8834-0,PSW,PPAP LEVEL 2,Common,OK,OK,OK,True,True,True
7009699802,7009699802,Eyelet Terminal 6.5Mm,Yel-Bl,7009-6998-02,,PSW,PPAP LEVEL 4,Common,Does Not Exist,To Be Requested,OK,False,True,False
7009722302,7009722302,Trmnl Eylt Typ,Royal Die,R9404-L,R9404-L,PSW,PPAP LEVEL 2,Common,Does Not Exist,OK,OK,True,True,True
7009728502,7009728502,Terminal Eyelet,Royal Die,R9442-L,R9442-L,PSW,PPAP LEVEL 2,Common,OK,OK,OK,True,True,True
7009731002,7009731002,Trmnl Eylt Typ,Royal Die,R9443-L,R9443-L,PSW,PPAP LEVEL 2,Common,OK,OK,OK,True,True,True
7009731102,7009731102,Trmnl Eylt Typ,Royal Die,R9444-B,R9444-B,PSW,PPAP LEVEL 2,Common,OK,OK,OK,True,True,True
7009732202,7009732202,Terminal,"Royal Die (Carol Stream, Il Usa)",R9514-L,R9514-L,PSW,PPAP LEVEL 2,Common,OK,OK,OK,True,True,True
7017108202,7017108202,Splice Terminal,Sak Auto-Kabel Ag,10186,10186,PSW,PPAP LEVEL 1,Common,OK,To Be Requested,OK,True,True,False
7035972830,7035972830,V710 Oval Floor Grommet,Elastomer Solutions Gmbh,2992,7035-9728-30,PSW,PPAP LEVEL 3,Common,OK,OK,OK,True,True,True
7035987030,7035987030,Front Door Grommet,Park-Ohio Industries America,78660,78660,PSW,PPAP LEVEL 3,Common,OK,To Be Requested,OK,True,True,False
7038966230,7038966230,Glafr-13-41X3 L=130 : Scroll D13 L=130,Delfingen Europe,48080,48080,PSW,PPAP LEVEL 2,Common,To Be Requested,OK,OK,True,True,True
7039065830,7039065830,Scroll Pvcrg 13X60,Delfingen Europe,78891,78891,PSW,PPAP LEVEL 2,Common,To Be Requested,OK,OK,True,True,True
7039254780,7039254780,Shrink Tube 4Mm L:20Mm,Te Connectivity Emea,5672706019,,PSW,PPAP LEVEL 2,Common,OK,OK,OK,False,True,True
7039275830,7039275830,Shrink Tube 5.72Mm L:35Mm B,Te Connectivity Emea,EG41000001,EG41000001,PSW,PPAP LEVEL 2,Common,OK,To Be Requested,OK,True,True,False
7039283530,7039283530,Shrink Tube 11Mm L:30Mm,Te Connectivity Emea,21036031,0021036034,PSW,PPAP LEVEL 2,Common,OK,To Be Requested,OK,True,True,False
7039290630,7039290630,Shrink Tube 18.3Mm L:50Mm,Te Connectivity Emea,RBK-ILS-125-NR4-0-50MM,RBK-ILS-125-NR4-0-50MM,PSW,PPAP LEVEL 2,Common,OK,To Be Requested,OK,True,True,False
7047036530,7047036530,Band Clip 194.5Mm,A. Raymond Czech Republic,213254000,213254000,PSW,PPAP LEVEL 1,Common,OK,To Be Requested,OK,True,True,False
7047070940,7047070940,Band Clip 230Mm,Hellermanntyton - Germany,157-00119,,PSW,PPAP LEVEL 1,Common,OK,To Be Requested,OK,False,True,False
7047076680,7047076680,Band Clip 230Mm,Hellermann America,157-00158 ,157-00158/Beams,PSW,PPAP LEVEL 4,Common,OK,To Be Requested,OK,True,True,False
71831724,71831724,Connector 2P 070 Multilock Natural,Te Connectivity Emea,0-0174463-1,,PSW,PPAP LEVEL 1,Common,OK,To Be Requested,OK,False,True,False
71834347,71834347,Connector 4P 110 Natural,Yse-M,7183-4347,,PSW,PPAP LEVEL 1,Common,OK,OK,OK,False,True,True
71836097,71836097,Connector 6P 060 Natural,Yc Purchasing (Yazaki Corp),7183-6097,,PSW,PPAP LEVEL 2,Common,OK,To Be Requested,OK,False,True,False
71837581,71837581,Connector 8P Junior Powertimer Natural,Te Connectivity Emea,927365-1,0-0927365-1,PSW,PPAP LEVEL 2,Common,OK,To Be Requested,OK,True,True,False
7047079930,7047079930,Band Clip 237.6Mm,Hellermanntyton - Germany,157-00164,157-00164,PSW,PPAP LEVEL 2,Common,OK,To Be Requested,OK,True,True,False
7047086030,7047086030,Band Clip 173.3Mm,Yel-Bl,7047-0860-30,20146-0,PSW,PPAP LEVEL 2,Common,OK,To Be Requested,OK,True,True,False
7047251030,7047251030,Tape Clip,Hellermanntyton - Germany,151-03401,15103401,PSW,PPAP LEVEL 1,Common,OK,To Be Requested,OK,True,True,False
7047282430,7047282430,Tape Clip,A. Raymond Czech Republic,211640000,211640000,PSW,PPAP LEVEL 1,Common,OK,To Be Requested,OK,True,True,False
7047309530,7047309530,Band Clip 171.4Mm,Itw Fastener Products Gmbh (Prev Trw),6981453810,6981453810,PSW,PPAP LEVEL 1,Common,Does Not Exist,To Be Requested,OK,True,True,False
7052118330,7052118330,Tape Clip,Yna Cps,7052-1183-30,164452001,PSW,PPAP LEVEL 4,Common,OK,To Be Requested,OK,True,True,False
7052122830,7052122830,Tape Clip,Hellermann Tyton S.R.L.,151-26101,,PSW,PPAP LEVEL 2,Common,OK,OK,OK,False,True,True
7052141530,7052141530,Tape Clip,Itw Fastener Products Gmbh (Prev Trw),615026,,PSW,PPAP LEVEL 1,Common,Does Not Exist,To Be Requested,OK,False,True,False
7052160530,7052160530,Connector Clip,Hellermanntyton - Germany,151-02529,,PSW,PPAP LEVEL 3,Common,OK,To Be Requested,OK,False,True,False
7052725230,7052725230,Cable Tie 200Mm,Hellermanntyton - Germany,118-04900,118-04900,PSW,PPAP LEVEL 2,Common,OK,To Be Requested,OK,True,True,False
7052731230,7052731230,Band Clip 223Mm,Hellermanntyton - Germany,157-00215,157-00215,PSW,PPAP LEVEL 3,Common,OK,To Be Requested,OK,True,True,False
7075127930,7075127930,Single Panel Grommet,Orven Kauçuk Sanayi Ve Ticaret Limited Sirketi,7075-1279-30,7075-1279-30,PSW,PPAP LEVEL 1,Common,Does Not Exist,OK,OK,True,True,True
7075156630,7075156630,Single Panel Grommet,Yel-Bl,7075-1566-30,7075-1566-30,PSW,PPAP LEVEL 4,Common,OK,OK,OK,True,True,True
7075208830,7075208830,Epb Grommet,Yel-Bl,7075-2088-30,,PSW,PPAP LEVEL 2,Common,Requested,To Be Requested,OK,False,True,False
7075215230,7075215230,Grom Wir,Yna Cps,7075-2152-30,BEAMS,PSW,PPAP LEVEL 4,Common,To Be Requested,OK,OK,True,True,True
7094009330,7094009330,Cgpt 19/9.5 Bk L 40Mm,Te Connectivity Emea,CGPT-19/9.5-0-40MM,5069876026,PSW,PPAP LEVEL 2,Common,OK,OK,OK,True,True,True
72380526,72380526,Water Hose,Altan Plastik,PZ31-17A423-DA,,,,Deleted,OK,Requested,Requested,False,True,False
7114410108,7114410108,Terminal Yesc Male 1.5Mm Unsealed,Yc Purchasing (Yazaki Corp),7114-4101-08,,PSW,PPAP LEVEL 2,Common,OK,To Be Requested,OK,False,True,False
7114410202,7114410202,Terminal Yesc Male 1.5Mm Sealed,Yel-Bl,7114-4102-02,,PSW,PPAP LEVEL 2,Common,OK,To Be Requested,OK,False,True,False
7114411102,7114411102,Terminal Yesc Male 2.8Mm Unsealed,Yel-Bl,7114-4111-02,,PSW,PPAP LEVEL 4,Common,OK,To Be Requested,OK,False,True,False
7114412202,7114412202,Terminal Yesc Male 6.3Mm Unsealed,Yel-Bl,7114-4122-02,,PSW,PPAP LEVEL 4,Common,OK,To Be Requested,OK,False,True,False
72380579,72380579,Washer System Hoses,Altan Plastik,PZ31-17A423-FC,PZ31-17A423-F,PSW,PPAP LEVEL 2,Common,OK,OK,OK,True,True,True
7114414002,7114414002,Terminal Yesc Male 6.3Mm Sealed,Yel-Bl,7114-4140-02,,PSW,PPAP LEVEL 3,Common,OK,To Be Requested,OK,False,True,False
7114414202,7114414202,Terminal 250 Male 6.3Mm Sealed,Yel-Bl,7114-4142-02,,PSW,PPAP LEVEL 2,Common,OK,OK,OK,False,True,True
7114415302,7114415302,Terminal Yesc Male 2.8Mm Sealed,Yel-Bl,7114-4153-02,,PSW,PPAP LEVEL 4,Common,OK,To Be Requested,OK,False,True,False
7114433902,7114433902,Terminal 110 Male 2.8,Te Connectivity Emea,1-1326031-1,,PSW,PPAP LEVEL 2,Common,OK,To Be Requested,OK,False,True,False
7114441602,7114441602,Terminal 025 Rh Male 0.64Mm Sealed,Yel-Bl,7114-4416-02,,PSW,PPAP LEVEL 1,Common,OK,To Be Requested,OK,False,True,False
7115183902,7115183902,Terminal 090 Female 2.5Mm Sealed,Te Connectivity Emea,0-0929974-1,,PSW,PPAP LEVEL 1,Common,OK,To Be Requested,OK,False,True,False
7116136602,7116136602,Terminal 090 Female 2.3Mm Sealed,Yc Purchasing (Yazaki Corp),7116-1366-02,7116-1366-02,PSW,PPAP LEVEL 2,Common,OK,To Be Requested,OK,True,True,False
7116136702,7116136702,Terminal 090 Female 2.3Mm Sealed,Yc Purchasing (Yazaki Corp),7116-1367-02,7116-1367-02,PSW,PPAP LEVEL 1,Common,OK,To Be Requested,OK,True,True,False
7116173806,7116173806,Terminal 110 Female 2.8Mm Unsealed,Tti Distribution Center Delphi,33370369,33370369,PSW,PPAP LEVEL 2,Common,OK,OK,OK,True,True,True
72527037,72527037,Band Clip Assembly 192.6Mm,A. Raymond Czech Republic,230347001,230347001,PSW,PPAP LEVEL 3,Common,OK,To Be Requested,OK,True,True,False
