Yazaki PN,BX726_BEV_JOB1+90_YMOK,BX726_BEV_JOB1+90_YRL,BX726_MCA_JOB1+90_YMOK,BX726_MCA_JOB1+90_YRL,BX726_GSR_TT_YMOK,BX726_GSR_TT_YRL,CX482_24MY_YBE,V710_B1_W2_HV_JOB1+90_YBE,V710_JOB1+90_YMO-K,V710_JOB1+90_YOT-G,V710_JOB1+90_YOT-K,V710_JOB1+90_YWTT,V710_B2_J74_JOB1+90_YMOK,V710_B2_J74_JOB1+90_YOT-G,V710_B2_J74_JOB1+90_YOT-K,V710_B2_J74_JOB1+90_YWTT,V710_HV_AWD_TT_YBE,V710_AWD_PP_YMOK,V710_AWD_TT_YOTG,V710_AWD_PP_YOTK,V710_AWD_PP_YWTT,FORD_V769_JOB1+180_HV_YRL,Item Description,Supplier Name,Supplier PN,Original Supplier Name,Original Supplier PN,Customer PN,Document Complete,IsCustomerDrawing,PSW Type,PSW Sub Type,Approved Date,PSW Date OK,PSW,Part Specification,Plant FAR,TDC Remarks,YPN Status,Handling Manual,Customer Engineering Approval,Promised Date,"IMDS STATUS
(Yes, No, N/A)",IMDS REMARKS,FAR Status,FAR Promised date,PPAP Details,BUHIN,R @R OK/NOK,Active Parts,YBE All Projects,YMO-K All Projects,YOT-G All Projects,YOT-K All Projects,YRL All Projects,YWTT All Projects,BX726 BEV,V769,BX726 MCA,BX726 GSR,V710 B1,CX482,V710 B2,V710 ICA AWD BEV,"Not 100% Approved
(Under Deviation)",Parts Under Deviation,part_id_raw,part_id_std,Approved Date_date,Approved Date_year,Approved Date_month,Approved Date_day,Approved Date_qtr,Approved Date_week,PSW Date OK_date,PSW Date OK_year,PSW Date OK_month,PSW Date OK_day,PSW Date OK_qtr,PSW Date OK_week,PSW_date,PSW_year,PSW_month,PSW_day,PSW_qtr,PSW_week,Promised Date_date,Promised Date_year,Promised Date_month,Promised Date_day,Promised Date_qtr,Promised Date_week,FAR Promised date_date,FAR Promised date_year,FAR Promised date_month,FAR Promised date_day,FAR Promised date_qtr,FAR Promised date_week
71164026,X,,,,,,,,D,,,,D,,,,,X,,,,,Terminal 090 Ii Female 2.3Mm Sealed,Yel-Bl,7116-4026,Ccc,7116-4026,,OK,OK,PSW,PPAP LEVEL 2,2018-11-12 00:00:00,NOT OK,,,,,Common,OK,,,Yes,,To Be Requested,,OK,P (M1a),,X,,X,,,,,X,,,,,,,X,,,71164026,71164026,2018-11-12,2018.0,11.0,12.0,4.0,46,,,,,,,,,,,,,,,,,,,,,,,,
71532815,,,,,,,,,D,,,,D,,,,,,,,,,Sheet 13X250Mm Si,Federal Mogul,REFLEXWRAP 1466 13X250MM ALU,Federal Mogul,REFLEXWRAP 1466 13X250MM ALU,,OK,OK,PSW,PPAP LEVEL 1,2018-12-07 00:00:00,NOT OK,REFLEXWRAP 1466 13-ALU  ,,YSE-0677-13  ,,Common,OK,,,Yes,,OK,,OK,P,,,,,,,,,,,,,,,,,,,71532815,71532815,2018-12-07,2018.0,12.0,7.0,4.0,49,,,,,,,,,,,,,,,,,,,,,,,,
70357230,,,,,,,,,X,,,,D,,D,,,,,,,,Single Panel Grommet,Elastomer Solutions S.R.O.,495,Elastomer,495,78GG-14603-CA,OK,OK,PSW,PPAP LEVEL 2,2018-08-14 00:00:00,NOT OK,,,,,Common,OK,,,Yes,,To Be Requested,,OK,P,,X,,X,,,,,,,,,X,,,,,,70357230,70357230,2018-08-14,2018.0,8.0,14.0,3.0,33,,,,,,,,,,,,,,,,,,,,,,,,
70392340,X,X,X,X,X,X,,,X,X,X,X,X,X,X,X,,X,X,X,X,X,Shrink Tube 5.75Mm L:50Mm B,Te Connectivity Emea,2525596002,Te Connectivity,2525596002,,OK,OK,PSW,PPAP LEVEL 2,2019-05-06 00:00:00,NOT OK,RBK-ILS-125-NR1-0-50MM,108-120003_Rev.A,,,Common,OK,,,Yes,,To Be Requested,,OK,P,,X,,X,X,X,X,X,X,X,X,X,X,,X,X,,,70392340,70392340,2019-05-06,2019.0,5.0,6.0,2.0,19,,,,,,,,,,,,,,,,,,,,,,,,
70392341,X,X,,X,,X,,,X,,X,X,X,D,D,X,,X,,X,X,,Shrink Tube 7.5Mm L:50Mm,Te Connectivity Emea,RBK-ILS-125-NR2-0-50MM,Te Connectivity,RBK-ILS-125-NR2-0-50MM,,OK,OK,PSW,PPAP LEVEL 3,2019-03-26 00:00:00,NOT OK,RBK-ILS-125-NR2-0-50MM,108-120003_Rev.A,,,Common,OK,,,Yes,,To Be Requested,,OK,P,,X,,X,,X,X,X,X,,X,X,X,,X,X,,,70392341,70392341,2019-03-26,2019.0,3.0,26.0,1.0,13,,,,,,,,,,,,,,,,,,,,,,,,
70392342,X,X,,X,,X,,,D,,X,X,D,D,D,D,,,,X,,,Shrink Tube 11Mm L:65Mm,Te Connectivity Emea,RBKILS125NR3065MM,Te Connectivity,RBKILS125NR3065MM,,OK,OK,PSW,PPAP LEVEL 2,2020-07-13 00:00:00,NOT OK,0021036034,108-120003_Rev.A,YRLC_198,,Common,OK,,,Yes,,OK,,OK,P,,X,,X,,X,X,X,X,,X,X,X,,,X,,,70392342,70392342,2020-07-13,2020.0,7.0,13.0,3.0,29,,,,,,,,,,,,,,,,,,,,,,,,
71532928,,,,,,,,,X,,,,D,,,,,,,,,,Sheet 16X200Mm Si,Federal Mogul Systems Protection Morocco Sarl Au,REFLEXWRAP 1466 16X200,Federal Mogul,REFLEXWRAP 1466 16X200,,OK,OK,PSW,PPAP LEVEL 2,2023-05-29 00:00:00,NOT OK,1655001616M0200 ,,YMOK22_0181,,Common,OK,,,Yes,,OK,,OK,P,,X,,X,,,,,,,,,X,,,,,,71532928,71532928,2023-05-29,2023.0,5.0,29.0,2.0,22,,,,,,,,,,,,,,,,,,,,,,,,
71534942,,,,,,,,,D,,,,D,,,,,,,,,,Sheet 19X250Mm Si,Federal Mogul Systems Protection Morocco Sarl Au,REFLEXWRAP 1466 19X250MM,Federal Mogul,REFLEXWRAP 1466 19X250MM,,OK,OK,PSW,PPAP LEVEL 2,2024-04-10 00:00:00,NOT OK,REFLEXWRAP 1466 19X250MM,,YMOK_24-0040,,Common,OK,,,Yes,,OK,,OK,P,,,,,,,,,,,,,,,,,,,71534942,71534942,2024-04-10,2024.0,4.0,10.0,2.0,15,,,,,,,,,,,,,,,,,,,,,,,,
70392350,X,,,,,,,,X,,,X,D,,D,D,,X,,,X,,Shrink Tube 5.72Mm L:50Mm B,Yna Cps,7039-2350,Te Connectivity,	829131P012,,OK,OK,PSW,PPAP LEVEL 4,2017-03-22 00:00:00,NOT OK,	7039-2430  ,,,"Supplier provice by AP buyer  There are no contracts, transactions and forecast in GPDB",Common,OK,,,Yes,,To Be Requested,,OK,P1,,X,,X,,,,X,X,,,,X,,,X,,,70392350,70392350,2017-03-22,2017.0,3.0,22.0,1.0,12,,,,,,,,,,,,,,,,,,,,,,,,
71534943,,,,,,,,,D,,,,D,,,,,,,,,,Reflexwrap1466 13X685,Federal Mogul Systems Protection Morocco Sarl Au,REFLEXWRAP 1466 13X685MM,Federal Mogul,REFLEXWRAP 1466 13X685MM,,OK,OK,PSW,PPAP LEVEL 2,2024-04-10 00:00:00,NOT OK,REFLEXWRAP 1466 13X685MM,,YMOK_24-0041,,Common,OK,,,Yes,,OK,,OK,P,,,,,,,,,,,,,,,,,,,71534943,71534943,2024-04-10,2024.0,4.0,10.0,2.0,15,,,,,,,,,,,,,,,,,,,,,,,,
71573777,,,,,,,,,D,,,X,D,,,D,,,,,X,,Single Wire Seal Red,Woco Industrietechnik Gmbh (Bad Soden),024621AA,Woco,024621AA,,OK,OK,PSW,PPAP LEVEL 2,2019-06-27 00:00:00,NOT OK,024621AA,,,,Common,Does Not Exist,,,Yes,,To Be Requested,,OK,P,,X,,,,,,X,,,,,X,,,X,,,71573777,71573777,2019-06-27,2019.0,6.0,27.0,2.0,26,,,,,,,,,,,,,,,,,,,,,,,,
71583035,,X,,D,,X,,,X,,,,D,,,,,X,,,,,Single Wire Seal Natural,Yel-Bl,7158-3035,Starlim,7158-3035,,OK,OK,PSW,PPAP LEVEL 2,2017-11-23 00:00:00,NOT OK,,,,,Common,OK,,,Yes,,To Be Requested,,OK,M2,OK,X,,X,,,X,,X,,,X,X,,,X,,,71583035,71583035,2017-11-23,2017.0,11.0,23.0,4.0,47,,,,,,,,,,,,,,,,,,,,,,,,
71591287,,,,,,,,,X,,,,D,,,,,,,,,,Multi Cable Adascar Comfort 2X1+3X0.5+1X2X0.5/9.3Mm Fr,Leoni Kabel Gmbh,620000C3W,Leoni,620000C3W,,OK,OK,PSW,PPAP LEVEL 3,2023-06-05 00:00:00,NOT OK,620000C3W  ,,YMOK23-0126,,Common,OK,,,Yes,,OK,,OK,P,,X,,X,,,,,,,,,X,,,,,,71591287,71591287,2023-06-05,2023.0,6.0,5.0,2.0,23,,,,,,,,,,,,,,,,,,,,,,,,
71721585,,,,,,,,,X,,,X,D,,,D,,X,,,X,,Rear Spacer Holder,Yel-Bl,7172-1585,Ycc,7172-1585,,OK,OK,PSW,PPAP LEVEL 1,2019-11-01 00:00:00,NOT OK,,,,,Common,Requested,,,Yes,,To Be Requested,,OK,P (M1a),,X,,X,,,,X,,,,,X,,,X,,,71721585,71721585,2019-11-01,2019.0,11.0,1.0,4.0,44,,,,,,,,,,,,,,,,,,,,,,,,
71730347,,,,,,,,,X,,,X,D,D,,X,,,,,X,,Shrink Tube 19Mm L:70Mm,Dsg Canusa Gmbh,6211915105D,Dsg Canusa,6211915105D,,OK,OK,PSW,PPAP LEVEL 1,2016-01-28 00:00:00,NOT OK,,,,,Common,OK,,,Yes,,To Be Requested,,OK,P1 / P2,,X,,X,,,,X,,,,,X,,X,X,,,71730347,71730347,2016-01-28,2016.0,1.0,28.0,1.0,4,,,,,,,,,,,,,,,,,,,,,,,,
71732703,D,,,,,,,,D,,,X,D,,,D,,X,,,X,,Cavity Seal / Blind Plug White,Molex Interconnect Gmbh,34869-1010 ,Molex,34869-1010 ,,OK,OK,PSW,PPAP LEVEL 2,2024-08-27 00:00:00,<1m,34869-1010,,,,Common,OK,,,Yes,,To Be Requested,,OK,P,,X,,X,,,,X,,,,,X,,,X,,,71732703,71732703,2024-08-27,2024.0,8.0,27.0,3.0,35,,,,,,,,,,,,,,,,,,,,,,,,
70472636,,,,,,,,,,,X,,,,X,,,,,X,,,Tape Clip,Yel-Bl,7047-2636,Yna Cps,7047-2636,,OK,OK,PSW,PPAP LEVEL 2,2018-10-09 00:00:00,NOT OK,,,,Original Supplier: ITW,Common,OK,,,Yes,,To Be Requested,,OK,P,,X,,,,X,,,,,,,X,,X,X,,,70472636,70472636,2018-10-09,2018.0,10.0,9.0,4.0,41,,,,,,,,,,,,,,,,,,,,,,,,
71734944,,,,,,,,,D,,,,D,,,,,,,,,,Grommet Lock,Yel-Bl,7173-4944,Yna Cps,7173-4944,,OK,OK,PSW,PPAP LEVEL 4,2020-05-21 00:00:00,NOT OK,,,YMOK_23-0139,Original Supplier: Elastomeros Tecnicos Moldeados / 71734944 will be replace by 71737507 (confirmation by email from Arda Kaan),Common,OK,,,Yes,,OK,,OK,P,,,,,,,,,,,,,,,,,,,71734944,71734944,2020-05-21,2020.0,5.0,21.0,2.0,21,,,,,,,,,,,,,,,,,,,,,,,,
71736371,,,,,,,,,X,X,,X,D,X,,X,,,,,X,,Cavity Seal / Blind Plug Natural,Te Connectivity Germany Gmbh,0-2377195-1,Te Connectivity,0-2377195-1,NU5T-14666-FA,OK,OK,PSW,PPAP LEVEL 2,2023-03-27 00:00:00,NOT OK,0-2377195-1,,YMO23_0079,,Common,OK,,,Yes,,OK,,OK,P,,X,,X,X,,,X,,,,,X,,X,X,,,71736371,71736371,2023-03-27,2023.0,3.0,27.0,1.0,13,,,,,,,,,,,,,,,,,,,,,,,,
71736373,,,,,,,,,X,X,,X,D,X,,X,,,,,X,,Cavity Seal / Blind Plug Natural,Te Connectivity Germany Gmbh,0-2373242-1,Te Connectivity,0-2373242-1,NU5T-14666-DA,OK,OK,PSW,PPAP LEVEL 2,2023-02-01 00:00:00,NOT OK,0-2373242-1,,YOTK_022-2023,,Common,OK,,,Yes,,OK,,OK,P,,X,,X,X,,,X,,,,,X,,X,X,,,71736373,71736373,2023-02-01,2023.0,2.0,1.0,1.0,5,,,,,,,,,,,,,,,,,,,,,,,,
70472660,,X,X,X,X,X,,,D,,X,,D,,X,,,,,X,,,Tape Clip,A. Raymond Czech Republic,164465001,A. Raymond,164465001,8U5T-14E044-JA,OK,OK,PSW,PPAP LEVEL 1,2019-06-24 00:00:00,NOT OK,164465001,,,,Common,OK,,,Yes,,To Be Requested,,OK,P,,X,,X,,X,X,,X,,X,X,X,,X,X,,,70472660,70472660,2019-06-24,2019.0,6.0,24.0,2.0,26,,,,,,,,,,,,,,,,,,,,,,,,
71742017,X,,,,,,,,D,,,,D,,,,,,,,,,Routing Cover Natural,Sews-Ce Ltd. (Distribution),6911-6578,Sumitomo,6911-6578,,OK,OK,PSW,PPAP LEVEL 2,2023-05-16 00:00:00,NOT OK,69116578  ,,YMOK23-0028,,Common,OK,,,Yes,,OK,,OK,P,,X,,X,,,,,X,,,,,,,,,,71742017,71742017,2023-05-16,2023.0,5.0,16.0,2.0,20,,,,,,,,,,,,,,,,,,,,,,,,
70472692,,X,X,X,X,X,,,D,,X,,D,,X,,,,,X,,,Tape Clip,A. Raymond Czech Republic,209423000,A. Raymond,209423000,8U5T-14E044-ZA,OK,OK,PSW,PPAP LEVEL 1,2019-06-24 00:00:00,NOT OK,209423000,,,,Common,OK,,,Yes,,To Be Requested,,OK,P,,X,,X,,X,X,,X,,X,X,X,,X,X,,,70472692,70472692,2019-06-24,2019.0,6.0,24.0,2.0,26,,,,,,,,,,,,,,,,,,,,,,,,
70472875,,,,,,,,,,,X,,,,D,,,,,X,,,Tape Clip,Itw Fastener Products Gmbh (Prev Trw),6080073801,Itw,6080073801,8U5T-14E044-HB,OK,OK,PSW,PPAP LEVEL 1,2019-02-01 00:00:00,NOT OK,,,,,Common,OK,,,Yes,,To Be Requested,,OK,P1,,X,,,,X,,,,,,,X,,,X,,,70472875,70472875,2019-02-01,2019.0,2.0,1.0,1.0,5,,,,,,,,,,,,,,,,,,,,,,,,
71849315,,,,,,,,,X,,,,D,,,,,,,,,,Tape Clip,Ymo-Dc,7184-9315,Hellermann,133-01499,,OK,OK,PSW,PPAP LEVEL 2,2023-07-10 00:00:00,NOT OK,13301499,,YMOK_23-0153,,Common,OK,,,Yes,,OK,,OK,P,,X,,X,,,,,,,,,X,,,,,,71849315,71849315,2023-07-10,2023.0,7.0,10.0,3.0,28,,,,,,,,,,,,,,,,,,,,,,,,
72380556,,,,,,,,,X,,,,D,,,,,,,,,,Water Hose,Altan Plastik,PZ31-17A423-DC,Altan Plastik,PZ31-17A423-DC,,OK,OK,PSW,PPAP LEVEL 2,2023-06-26 00:00:00,NOT OK,PZ31-17A423-D,,,,Common,To Be Requested,,,Yes,,To Be Requested,,OK,P,,X,,X,,,,,,,,,X,,,,,,72380556,72380556,2023-06-26,2023.0,6.0,26.0,2.0,26,,,,,,,,,,,,,,,,,,,,,,,,
72380557,,,,,,,,,,,,,D,,,,,,,,,,Washer System Hoses,Altan Plastik,PZ31-17A423-BC,Altan Plastik,PZ31-17A423-BC,PZ31-17A423-BC,OK,OK,PSW,PPAP LEVEL 2,2023-10-31 00:00:00,NOT OK,PZ31-17A423-BC,,YMOK23-0118,Part added in BoM on 17-06-2024,Common,OK,,,Yes,,OK,,OK,P,,,,,,,,,,,,,,,,,,,72380557,72380557,2023-10-31,2023.0,10.0,31.0,4.0,44,,,,,,,,,,,,,,,,,,,,,,,,
70521027,,,,,,,,,D,X,D,X,,X,D,X,,,,X,X,,Tape Clip,Hellermanntyton - Germany,151-00903,Hellermann,151-00903,,OK,OK,PSW,PPAP LEVEL 2,2019-01-10 00:00:00,NOT OK,151-00903,,,,Common,OK,,,Yes,,To Be Requested,,OK,P,,X,,,X,X,,X,,,,,X,,X,X,,,70521027,70521027,2019-01-10,2019.0,1.0,10.0,1.0,2,,,,,,,,,,,,,,,,,,,,,,,,
72380577,,,,,,,,,X,,,,D,,,,,,,,,,Washer System Hoses,Altan Plastik,PZ31-17A423-CC,Altan Plastik,PZ31-17A423-CC,PZ31-17A423-CC,OK,OK,PSW,PPAP LEVEL 2,2023-06-14 00:00:00,NOT OK,PZ31-17A423-CC,,YMOK23-0094,Part added in BoM on 17-06-2024,Common,OK,,,Yes,,OK,,OK,P,,X,,X,,,,,,,,,X,,,,,,72380577,72380577,2023-06-14,2023.0,6.0,14.0,2.0,24,,,,,,,,,,,,,,,,,,,,,,,,
72380578,,,,,,,,,,,,,D,,,,,,,,,,Washer System Hoses,Altan Plastik,PZ31-17A423-ED,Altan Plastik,PZ31-17A423-ED,PZ31-17A423-ED,OK,OK,PSW,PPAP LEVEL 2,2023-10-31 00:00:00,NOT OK,PZ31-17A423-ED,,YMOK23-0247,Part added in BoM on 17-06-2024,Common,OK,,,Yes,,OK,,OK,P,,,,,,,,,,,,,,,,,,,72380578,72380578,2023-10-31,2023.0,10.0,31.0,4.0,44,,,,,,,,,,,,,,,,,,,,,,,,
72380671,,,,,,,,,,,,,D,,,,,,,,,,Water Hose,Altan Plastik,PZ31-17A423-DB,Altan Plastik,PZ31-17A423-DB,PZ31-17A423-DB,PSW not found.,OK,,,,Not OK,,,,72380671/PZ31-17A423-DB has been upsuffixed with 72380556/PZ31-17A423-DC,Deleted,OK,,,Yes,,To Be Requested,,To Be Requested,P,,,,,,,,,,,,,,,,,,,72380671,72380671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70521180,,X,,X,,,,,,,X,,,,X,,,,,X,,,Tape Clip,Hellermanntyton - Germany,151-01238,Hellermann,151-01238 ,,OK,OK,PSW,PPAP LEVEL 2,2017-01-11 00:00:00,NOT OK,CU5T-14E044-BA,,YRLC_188,,Common,OK,,,Yes,,OK,,OK,P,,X,,,,X,X,,X,,X,,X,,X,X,,,70521180,70521180,2017-01-11,2017.0,1.0,11.0,1.0,2,,,,,,,,,,,,,,,,,,,,,,,,
70521184,X,X,,X,,X,,,X,X,X,X,X,X,X,X,,X,,X,X,D,Tape Clip,Hellermanntyton - Germany,151-01240,Hellermann,151-01240,,OK,OK,PSW,PPAP LEVEL 1,2019-02-01 00:00:00,NOT OK,Hellermann Collective PSW - 62416,,,,Common,OK,,,Yes,,To Be Requested,,OK,P,,X,,X,X,X,X,X,X,,X,X,X,,X,X,,,70521184,70521184,2019-02-01,2019.0,2.0,1.0,1.0,5,,,,,,,,,,,,,,,,,,,,,,,,
72380672,,,,,,,,,,,,,D,,,,,,,,,,Water Hose,Altan Plastik,PZ31-17A423-FB,Altan Plastik,PZ31-17A423-FB,,PSW not found.,OK,,,,Not OK,,,,"According to YMO-K, 72380672 has been replaced by 72380579",Deleted,To Be Requested,,,Yes,,To Be Requested,,To Be Requested,M2,OK,,,,,,,,,,,,,,,,,,72380672,72380672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70521194,X,X,D,X,,X,,,X,X,X,X,D,X,D,X,X,X,,X,X,X,Tape Clip,Hellermanntyton - Germany,151-01239,Hellermann,151-01239,,OK,OK,PSW,PPAP LEVEL 1,2019-08-28 00:00:00,NOT OK,151-01239,,,,Common,OK,,,Yes,,To Be Requested,,OK,P,,X,X,X,X,X,X,X,X,X,X,X,X,,X,X,,,70521194,70521194,2019-08-28,2019.0,8.0,28.0,3.0,35,,,,,,,,,,,,,,,,,,,,,,,,
72380673,,,,,,,,,,,,,D,,,,,,,,,,Water Hose,Altan Plastik,PZ31-17A423-EB,Altan Plastik,PZ31-17A423-EB,,PSW not found.,OK,,,,Not OK,,,,"According to YMO-K, 72380673 has been replaced by 72380578",Deleted,To Be Requested,,,Yes,,To Be Requested,,To Be Requested,M2,OK,,,,,,,,,,,,,,,,,,72380673,72380673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72380674,,,,,,,,,,,,,D,,,,,,,,,,Water Hose,Altan Plastik,PZ31-17A423-CB,Altan Plastik,PZ31-17A423-CB,,PSW not found.,OK,,,,Not OK,,,,"According to YMO-K, 72380674 has been replaced by 72380577",Deleted,To Be Requested,,,Yes,,To Be Requested,,To Be Requested,M2,OK,,,,,,,,,,,,,,,,,,72380674,72380674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70521520,D,X,X,X,X,X,,,X,,X,,D,,X,,,,,X,,,Tape Clip,Hellermanntyton - Germany,151-01884,Hellermann,151-01884,,OK,OK,PSW,PPAP LEVEL 1,2020-01-20 00:00:00,NOT OK,151-01884,,,,Common,OK,,,Yes,,To Be Requested,,OK,P,,X,,X,,X,X,,X,,X,X,X,,X,X,,,70521520,70521520,2020-01-20,2020.0,1.0,20.0,1.0,4,,,,,,,,,,,,,,,,,,,,,,,,
